#{"t_start": 1766172363.9124959, "env_id": "None"}
r,l,t
-10.0,8,1110.735727
-10.0,8,1110.741385
-10.0,8,1110.746158
-10.0,8,1110.751326
-10.0,8,1110.756071
-10.0,8,1110.761259
-10.0,8,1110.768252
-10.0,3,1126.241141
-10.0,3,1126.243556
-10.0,3,1126.245897
-10.0,3,1126.248172
-10.0,3,1126.250373
-10.0,3,1126.252155
-10.0,3,1126.253934
-10.0,3,1126.255735
-10.0,3,1126.257565
-10.0,3,1126.259356
-10.0,3,1140.962095
-10.0,3,1140.964618
-10.0,3,1140.967355
-10.0,3,1140.970064
-10.0,3,1140.97261
-10.0,3,1140.975106
-10.0,3,1140.977937
-10.0,3,1140.980654
-10.0,3,1140.983556
-10.0,3,1140.986275
-10.0,3,1156.523543
-10.0,3,1156.525394
-10.0,3,1156.527127
-10.0,3,1156.528831
-10.0,3,1156.530545
-10.0,3,1156.532247
-10.0,3,1156.534506
-10.0,3,1156.537072
-10.0,3,1156.539529
-10.0,3,1156.54197
75
1.0,39,224.487808
1.0,53,224.613627
1.0,31,224.674828
1.0,55,224.804741
1.0,49,224.918617
-1.0,63,225.056552
1.0,48,225.706661
1.0,38,225.787779
1.0,69,225.940016
1.0,68,226.092168
1.0,52,226.713557
1.0,25,226.777842
1.0,46,226.886187
1.0,54,227.009816
1.0,55,227.136094
1.0,59,227.278253
1.0,60,227.929328
1.0,34,228.110113
1.0,36,228.188997
1.0,64,228.377535
1.0,60,228.54294
1.0,45,229.286175
1.0,51,229.411509
1.0,50,229.524925
1.0,51,229.646762
1.0,32,229.714212
1.0,35,230.296531
-1.0,55,230.431347
1.0,29,230.500489
-1.0,35,230.580391
1.0,49,230.686754
1.0,45,230.791619
0.0,49,231.418656
1.0,53,231.544318
1.0,63,231.687074
1.0,59,231.818197
1.0,45,231.915917
1.0,48,232.513112
1.0,48,232.628012
1.0,43,232.720475
1.0,39,232.814986
1.0,53,232.948562
1.0,43,233.046767
1.0,63,233.753973
1.0,53,233.887531
1.0,30,233.962355
1.0,60,234.109454
1.0,67,234.786601
1.0,64,234.944496
1.0,39,235.036034
-1.0,50,235.161366
1.0,32,235.238133
1.0,51,235.357858
1.0,46,235.972609
1.0,60,236.113227
1.0,61,236.259879
1.0,72,236.429674
1.0,52,237.065009
1.0,57,237.196081
-1.0,72,237.363224
1.0,28,237.430162
1.0,42,237.531754
1.0,45,238.13617
1.0,37,238.221365
0.0,64,238.374788
1.0,42,238.478488
1.0,63,238.625134
1.0,45,239.322109
0.0,41,239.411672
1.0,52,239.53734
1.0,53,239.664953
1.0,54,239.79901
-1.0,45,239.899546
1.0,28,240.567157
1.0,45,240.670071
1.0,53,240.793771
1.0,39,240.889583
1.0,40,240.984895
1.0,39,241.076979
1.0,54,241.710506
1.0,40,241.805247
1.0,50,241.916928
1.0,39,242.082985
1.0,42,242.181555
1.0,42,242.281131
1.0,34,242.841912
1.0,44,242.94618
1.0,53,243.064992
1.0,34,243.140952
1.0,51,243.262403
1.0,31,243.33592
-1.0,22,243.884858
1.0,51,244.028127
1.0,34,244.140811
1.0,69,244.321944
1.0,57,244.459936
1.0,40,245.052844
1.0,72,245.225157
-1.0,34,245.303861
1.0,72,245.470146
1.0,40,245.559753
1.0,46,246.177277
-1.0,30,246.245817
1.0,29,246.314649
1.0,56,246.445957
1.0,39,246.540325
1.0,54,246.668655
1.0,49,247.283706
1.0,42,247.383727
1.0,44,247.485191
1.0,33,247.556828
1.0,42,247.64574
1.0,46,247.753731
1.0,97,248.48171
1.0,32,248.555047
-1.0,60,248.685624
1.0,48,248.79801
1.0,53,248.926102
1.0,37,249.619816
1.0,56,249.753168
1.0,41,249.850637
1.0,37,249.938123
1.0,69,250.091954
1.0,54,250.740274
1.0,59,250.87209
1.0,50,250.99062
1.0,51,251.114598
1.0,37,251.197675
1.0,41,251.988724
1.0,24,252.070647
1.0,51,252.28652
1.0,53,252.501933
1.0,48,252.693185
1.0,54,252.932255
1.0,57,253.605751
1.0,62,253.747435
1.0,56,253.868999
1.0,45,253.9701
1.0,58,254.671059
1.0,38,254.879989
1.0,56,255.033668
1.0,58,255.214317
1.0,56,255.356893
1.0,46,256.198877
1.0,59,256.340754
1.0,39,256.509289
1.0,36,256.593049
1.0,48,256.819146
-1.0,56,256.947864
1.0,40,257.547706
1.0,45,257.659781
-1.0,44,257.759976
-1.0,19,257.802947
1.0,68,257.95839
1.0,70,258.632328
1.0,53,258.763228
1.0,57,258.892265
1.0,83,259.096069
1.0,50,259.73248
1.0,56,259.889144
1.0,64,260.044686
1.0,49,260.161906
1.0,85,260.873772
1.0,42,260.975915
1.0,60,261.110662
1.0,49,261.226059
1.0,33,261.307488
1.0,64,261.948981
1.0,51,262.060993
1.0,73,262.241074
1.0,47,262.353469
1.0,51,262.478
1.0,46,263.089727
1.0,57,263.232063
1.0,67,263.38298
1.0,54,263.498531
1.0,55,263.626229
1.0,58,264.275533
1.0,34,264.350941
1.0,55,264.462974
1.0,46,264.574147
1.0,44,264.672752
1.0,50,265.358436
1.0,46,265.463829
1.0,49,265.585345
-1.0,24,265.639789
1.0,54,265.76265
1.0,39,265.870676
1.0,61,266.687154
1.0,39,266.779562
1.0,47,266.915954
1.0,41,267.014526
1.0,51,267.133611
1.0,45,267.756188
1.0,32,267.827361
1.0,59,267.974369
1.0,58,268.111712
-1.0,56,268.243352
1.0,35,268.326742
1.0,72,269.03334
1.0,35,269.116019
-1.0,55,269.239073
1.0,38,269.327007
1.0,65,269.485369
1.0,40,270.088444
1.0,67,270.282254
1.0,41,270.394921
1.0,42,270.490312
1.0,71,271.335217
1.0,57,271.460831
1.0,52,271.587353
1.0,44,271.695355
1.0,60,271.839406
1.0,49,272.469294
1.0,35,272.560364
1.0,47,272.671622
1.0,54,272.810521
1.0,58,272.968753
1.0,49,273.104341
1.0,36,273.682535
1.0,53,273.803407
1.0,41,273.8967
1.0,63,274.050092
-1.0,36,274.133451
1.0,37,274.760941
1.0,45,274.858451
1.0,51,274.964603
1.0,62,275.102878
-1.0,54,275.23556
1.0,49,275.923922
1.0,44,276.028735
1.0,54,276.157665
1.0,68,276.305563
1.0,61,276.44788
1.0,57,277.102285
-1.0,50,277.221687
1.0,53,277.346989
1.0,47,277.461197
1.0,73,278.145804
1.0,63,278.292196
-1.0,59,278.430541
1.0,35,278.521528
1.0,56,278.650282
-1.0,46,279.277594
1.0,83,279.479776
1.0,31,279.551113
1.0,45,279.652148
1.0,34,279.725371
1.0,51,279.84757
1.0,50,280.491094
1.0,61,280.645472
1.0,54,280.807097
1.0,42,280.909788
-1.0,43,281.016456
1.0,44,281.653886
1.0,66,281.833059
1.0,51,281.946963
1.0,66,282.095881
1.0,29,282.166321
1.0,78,282.844688
1.0,42,282.939144
-1.0,42,283.033135
1.0,60,283.183536
1.0,25,283.245973
1.0,61,283.909799
-1.0,46,284.015204
1.0,48,284.129631
1.0,56,284.262058
0.0,61,284.395291
-1.0,32,284.967147
1.0,68,285.22071
-1.0,29,285.282187
1.0,56,285.410712
1.0,30,285.485943
-1.0,38,285.567637
1.0,49,286.435001
1.0,62,286.585046
1.0,56,286.718153
1.0,57,286.844973
1.0,28,286.912029
1.0,81,287.577119
1.0,56,287.70614
1.0,53,287.823885
1.0,29,287.897614
1.0,37,287.986546
1.0,35,288.569088
1.0,84,288.775838
1.0,66,288.921186
1.0,25,288.982437
1.0,21,289.02981
1.0,46,289.651975
0.0,46,289.760875
1.0,44,289.862961
1.0,63,290.013003
1.0,47,290.124494
-1.0,78,290.840173
1.0,57,290.978382
1.0,73,291.167347
1.0,50,291.313451
1.0,43,291.940843
-1.0,68,292.11147
1.0,56,292.232275
1.0,28,292.294974
1.0,43,292.395608
1.0,38,292.491427
1.0,66,293.145144
1.0,60,293.277322
1.0,59,293.411458
1.0,42,293.504509
1.0,96,294.263731
1.0,40,294.352999
1.0,54,294.480188
1.0,88,294.681906
1.0,22,294.735713
1.0,50,295.376954
1.0,46,295.478943
1.0,72,295.638949
1.0,91,295.83506
1.0,28,296.471989
1.0,55,296.616647
1.0,57,296.758642
1.0,57,296.898818
1.0,44,297.008035
1.0,63,297.656199
1.0,77,297.847779
1.0,37,297.935683
1.0,65,298.095557
1.0,53,298.746777
1.0,58,298.882402
1.0,52,299.107046
1.0,40,299.196651
1.0,62,299.350353
1.0,61,299.989967
1.0,43,300.095156
1.0,46,300.195334
1.0,38,300.276126
1.0,57,300.406528
1.0,76,301.083259
1.0,38,301.173257
1.0,28,301.239268
1.0,36,301.328602
1.0,52,301.44759
1.0,52,301.587831
1.0,61,302.271252
1.0,27,302.425168
1.0,59,302.564173
1.0,43,302.661234
1.0,46,302.764397
1.0,54,303.421858
1.0,39,303.516993
1.0,52,303.63958
1.0,44,303.742379
1.0,34,303.820376
1.0,29,303.885679
1.0,52,304.527346
1.0,40,304.620479
1.0,37,304.708964
1.0,51,304.836832
1.0,38,304.926546
1.0,46,305.038805
1.0,43,305.680518
1.0,49,305.791026
0.0,65,305.939532
1.0,49,306.069228
1.0,51,306.187882
1.0,56,306.840878
1.0,43,306.971881
1.0,52,307.096343
1.0,51,307.214218
1.0,46,307.318166
1.0,47,307.958925
1.0,34,308.036094
-1.0,42,308.13612
